index,direction_x,label,weight,max_hold_bars,direction_y,ema_distance,atr,rsi,body,volatility_5,hour,session_asia,session_europe,session_us,time
87,buy,0,1.0,10,buy,0.00017929845494401585,0.0005542611142722412,58.24285154366503,2.8624199327448402e-05,0.00038373593755167053,0.0,1.0,0.0,0.0,2025-02-03 00:30:00+00:00
88,sell,0,1.0,9,sell,0.0001894870082203579,0.0005482420955661001,55.389518812022814,0.00017177469744392743,0.0003045039629138799,0.0,1.0,0.0,0.0,2025-02-03 00:31:00+00:00
91,buy,1,1.0,10,buy,0.00016274215937848644,0.0005088874713630669,47.9387447743472,0.00031507023918131476,0.00018295678033399896,0.0,1.0,0.0,0.0,2025-02-03 00:34:00+00:00
110,sell,1,1.0,9,sell,-0.00044227770111958777,0.0004939607046693254,33.686996696803675,0.00014705961473978848,0.00025571944532923487,1.0,1.0,0.0,0.0,2025-02-03 00:53:00+00:00
153,buy,0,1.0,10,buy,-0.0005668945960635404,0.0004114131703085371,44.66411630584896,0.000273144995067132,0.00014712369914720238,1.0,1.0,0.0,0.0,2025-02-03 01:36:00+00:00
156,sell,0,1.0,10,sell,-0.0004945146456231036,0.0003983936980593789,49.81463729469641,4.671109011112178e-05,0.0001807276767341661,1.0,1.0,0.0,0.0,2025-02-03 01:39:00+00:00
161,buy,0,0.5,9,buy,-0.000546834698514532,0.00046611427233513725,39.324429895063254,0.0005106839028478082,0.0005319350321377598,1.0,1.0,0.0,0.0,2025-02-03 01:44:00+00:00
166,sell,1,1.0,8,sell,-0.0004917021828354804,0.0004742776806063491,44.36240477522279,9.815465650369456e-05,0.0002202947216966834,2.0,1.0,0.0,0.0,2025-02-03 01:49:00+00:00
168,buy,0,1.0,8,buy,-0.0005656279870984586,0.0005336795758719235,34.620109987070876,1.0795114131416153e-05,0.00035611104511076136,2.0,1.0,0.0,0.0,2025-02-03 01:51:00+00:00
170,sell,1,1.0,8,sell,-0.000671986350227213,0.0005679922167209124,27.03101323745669,0.0005942380517635692,0.00036412453756299993,2.0,1.0,0.0,0.0,2025-02-03 01:53:00+00:00
201,buy,0,1.0,11,buy,-0.0004272525361713514,0.0005567871060332418,47.74472118229592,9.970717765696902e-05,0.000510020910675151,2.0,1.0,0.0,0.0,2025-02-03 02:24:00+00:00
207,sell,0,1.0,12,sell,-0.0006342981754008597,0.0005981938362435666,39.1819675482923,2.414401363596495e-05,0.0003164068287245449,2.0,1.0,0.0,0.0,2025-02-03 02:30:00+00:00
230,buy,0,0.5,11,buy,-0.00020131573942001004,0.00042621813306626706,55.96452643737387,0.0005004131108234577,0.00027486622244932125,3.0,1.0,0.0,0.0,2025-02-03 02:53:00+00:00
242,sell,0,1.0,11,sell,-0.0002729122557011382,0.0003749460058585108,41.98556467243794,0.00010809272193694299,0.00015400645199132185,3.0,1.0,0.0,0.0,2025-02-03 03:05:00+00:00
243,buy,0,1.0,11,buy,-0.0002832087279682606,0.00036030178093079967,39.68755704655267,0.00011891570498108411,0.00014606157102308988,3.0,1.0,0.0,0.0,2025-02-03 03:06:00+00:00
246,sell,0,0.5,11,sell,-0.00030782831964581856,0.000369287687109276,35.04286481543086,0.0005298987244581623,0.000273958815281365,3.0,1.0,0.0,0.0,2025-02-03 03:09:00+00:00
269,buy,0,1.0,11,buy,-0.0004150235184021512,0.00035299525928236835,45.1162455355431,1.0816716153051249e-05,0.0001667273032485143,3.0,1.0,0.0,0.0,2025-02-03 03:32:00+00:00
272,sell,0,0.5,11,sell,-0.0003672126852225557,0.0003288146684726055,46.18452173724518,8.292546623041317e-05,0.00015876375140275683,3.0,1.0,0.0,0.0,2025-02-03 03:35:00+00:00
292,buy,1,1.0,11,buy,0.00035148294520299955,0.0004467133054986553,76.61456125694943,0.00017012809602560494,0.00024042613151655437,4.0,1.0,0.0,0.0,2025-02-03 03:55:00+00:00
322,sell,1,1.0,12,sell,0.0002944734633443612,0.0003542262473451741,56.46314200382594,3.597038198662093e-06,0.0001312864829128083,4.0,1.0,0.0,0.0,2025-02-03 04:25:00+00:00
334,buy,0,0.5,12,buy,0.0002704598551455787,0.00029560270784188044,52.75419079812495,1.798544977120058e-05,7.604088586962405e-05,4.0,1.0,0.0,0.0,2025-02-03 04:37:00+00:00
398,sell,0,0.5,10,sell,0.0002192232172942766,0.00022032838714551844,54.033762960828554,9.807838223110124e-05,9.574007815328038e-05,5.0,1.0,0.0,0.0,2025-02-03 05:41:00+00:00
404,buy,0,0.5,9,buy,0.00016649321720464105,0.00022343005782933428,50.172614786257014,0.00011605396401548157,0.00015152775473305723,6.0,1.0,0.0,0.0,2025-02-03 05:47:00+00:00
405,sell,0,0.5,9,sell,0.00016220080357545757,0.00022842643615017937,51.93048265882279,5.281433963210843e-05,0.0001345874534890186,6.0,1.0,0.0,0.0,2025-02-03 05:48:00+00:00
409,buy,0,0.5,9,buy,0.0001346081021159578,0.00023037074698913792,50.780948362727095,0.00010527306683785767,6.880927519102006e-05,6.0,1.0,0.0,0.0,2025-02-03 05:52:00+00:00
410,sell,0,0.5,9,sell,0.00012849364051647062,0.0002264961015082065,49.85827730345791,2.2636018216478342e-05,6.3374772607063e-05,6.0,1.0,0.0,0.0,2025-02-03 05:53:00+00:00
411,buy,0,0.5,9,buy,0.00013293731263885682,0.0002282410785676594,56.71474428423014,0.00017243330333712982,0.00010807139188620867,6.0,1.0,0.0,0.0,2025-02-03 05:54:00+00:00
415,sell,0,0.5,10,sell,0.00014322874342700642,0.00023160054059025807,55.866085053413165,0.0,9.705567311073071e-05,6.0,1.0,0.0,0.0,2025-02-03 05:58:00+00:00
424,buy,0,0.5,10,buy,0.00033990030571947536,0.0002712848369534868,74.28843451836681,8.254096992817794e-05,0.00023734842063142272,6.0,1.0,0.0,0.0,2025-02-03 06:07:00+00:00
455,sell,0,1.0,13,sell,0.00020828644311510783,0.00031549810870237267,56.26363290093274,6.1001756491616034e-05,0.00023661718344026808,6.0,1.0,0.0,0.0,2025-02-03 06:38:00+00:00
457,buy,0,1.0,14,buy,0.00021194174332488677,0.0003029843369384867,56.52519814351387,0.00015788123384186204,0.00010859197720587177,6.0,1.0,0.0,0.0,2025-02-03 06:40:00+00:00
460,sell,0,1.0,15,sell,0.000185358017824166,0.0003022353656060882,51.93712324187459,0.00011125486515728941,0.00017377968569913413,6.0,1.0,0.0,0.0,2025-02-03 06:43:00+00:00
467,buy,0,0.5,15,buy,0.0002155068354867435,0.00031421704173035354,61.02117310133848,9.327126728379846e-05,0.0001614004386313567,7.0,1.0,0.0,0.0,2025-02-03 06:50:00+00:00
493,sell,0,1.0,19,sell,7.69861898920687e-05,0.00034147834315467117,47.973550414679416,0.0002045448428681884,0.00022454276222034703,7.0,1.0,0.0,0.0,2025-02-03 07:16:00+00:00
519,buy,0,1.0,19,buy,0.00013140293906010482,0.0003647332549569063,54.07166271738546,1.793480697670516e-05,0.00020679235410301473,7.0,1.0,0.0,0.0,2025-02-03 07:42:00+00:00
542,sell,0,1.0,21,sell,0.0006529603872756785,0.0005218498880206354,71.66805438257558,0.00023512612530386494,0.00022824610406988697,8.0,0.0,1.0,0.0,2025-02-03 08:05:00+00:00
543,buy,1,1.0,22,buy,0.0006919973694574521,0.000510922259271343,70.91491334547877,3.686275744880568e-05,0.00022013000734224988,8.0,0.0,1.0,0.0,2025-02-03 08:06:00+00:00
587,sell,0,0.5,17,sell,0.00041422945804205877,0.000350635501950218,56.300830569360166,0.0002323233225808034,0.00015004219412361776,9.0,0.0,1.0,0.0,2025-02-03 08:50:00+00:00
608,buy,0,1.0,14,buy,7.779161506827169e-05,0.0003379210303300104,56.57175824051223,1.3226212924085895e-05,0.00018074523752099726,9.0,0.0,1.0,0.0,2025-02-03 09:11:00+00:00
614,sell,0,1.0,14,sell,0.00015868841806906717,0.00032892219765632576,55.75610262399133,3.2169454388233674e-05,0.0001913771807710772,9.0,0.0,1.0,0.0,2025-02-03 09:17:00+00:00
621,buy,1,1.0,14,buy,0.0002779847957044115,0.00035633671784406496,68.66684889928221,0.00038213767098880933,0.0001862275559054299,9.0,0.0,1.0,0.0,2025-02-03 09:24:00+00:00
643,sell,0,0.5,14,sell,-5.350231179181509e-05,0.00032003210336613866,39.44743561116148,5.3644461674283327e-05,0.0001554297464106853,9.0,0.0,1.0,0.0,2025-02-03 09:46:00+00:00
677,buy,0,1.0,12,buy,-0.00024248701474230877,0.0003213868976704829,37.960772184568846,0.0002434075917395468,0.00026386757261543487,10.0,0.0,1.0,0.0,2025-02-03 10:20:00+00:00
679,sell,0,0.5,12,sell,-0.00027301377705161,0.00032346146111779356,36.23532605424154,0.00010739531283886878,0.000220884751230582,10.0,0.0,1.0,0.0,2025-02-03 10:22:00+00:00
700,buy,1,1.0,12,buy,0.000293356531763239,0.00030535907138939787,62.003965346617036,8.219760661996773e-05,0.00019658090265496905,10.0,0.0,1.0,0.0,2025-02-03 10:43:00+00:00
737,sell,0,0.5,14,sell,0.00010672946212497026,0.0002674036244327168,50.04403139570497,0.00014182192952840977,8.16347875996832e-05,11.0,0.0,1.0,0.0,2025-02-03 11:20:00+00:00
761,buy,0,0.5,11,buy,0.00017778501245597662,0.0002482806074054377,61.2125300215177,0.00011888959262644735,0.00022622050761496692,11.0,0.0,1.0,0.0,2025-02-03 11:44:00+00:00
845,sell,0,1.0,22,sell,0.0005106221246412539,0.00037167289183677465,59.344222182262925,0.00011386502368932061,0.0001636904054796675,13.0,0.0,1.0,0.0,2025-02-03 13:08:00+00:00
851,buy,0,0.5,19,buy,0.00046614697224593574,0.0004025042975448604,61.072057324390336,0.0002098766530010211,0.00027940692298594896,13.0,0.0,1.0,0.0,2025-02-03 13:14:00+00:00
870,sell,0,0.5,19,sell,9.79946055113898e-05,0.0003793067548645231,46.457274056117804,0.00021717266116602944,0.0001891527020905757,13.0,0.0,1.0,0.0,2025-02-03 13:33:00+00:00
889,buy,1,1.0,17,buy,0.0001911703194673737,0.00030633385885073017,56.85324824908255,1.0674238259743388e-05,6.323680827001345e-05,14.0,0.0,1.0,0.0,2025-02-03 13:52:00+00:00
966,sell,0,1.0,28,sell,0.0006282487240014863,0.0007598526337999657,51.164484704743614,5.3096875248923794e-05,0.0005171677614150996,15.0,0.0,1.0,0.0,2025-02-03 15:09:00+00:00
971,buy,0,1.0,28,buy,0.00014839526957374953,0.0010721613573879219,47.189745373180024,0.0014681607910704175,0.0016243608458711312,15.0,0.0,1.0,0.0,2025-02-03 15:14:00+00:00
974,sell,1,1.0,27,sell,-2.493585577695167e-06,0.001186655540580633,39.62636469438442,0.001536081405569591,0.001344613906104737,15.0,0.0,1.0,0.0,2025-02-03 15:17:00+00:00
1007,buy,0,1.0,29,buy,-0.0003472409654114124,0.0008835785120126315,48.3875465261741,2.8393986437586553e-05,0.00019747877087813247,16.0,0.0,0.0,1.0,2025-02-03 15:50:00+00:00
